county,state,population,population
California,California,2022,"39,356,104"
Alameda County,California,2022,"1,663,823"
Alpine County,California,2022,"1,515"
Amador County,California,2022,"40,577"
Butte County,California,2022,"213,605"
Calaveras County,California,2022,"45,674"
Colusa County,California,2022,"21,811"
Contra Costa County,California,2022,"1,162,648"
Del Norte County,California,2022,"27,462"
El Dorado County,California,2022,"191,713"
Fresno County,California,2022,"1,008,280"
Glenn County,California,2022,"28,657"
Humboldt County,California,2022,"136,132"
Imperial County,California,2022,"179,578"
Inyo County,California,2022,"18,829"
Kern County,California,2022,"906,883"
Kings County,California,2022,"152,515"
Lake County,California,2022,"68,024"
Lassen County,California,2022,"31,873"
Los Angeles County,California,2022,"9,936,690"
Madera County,California,2022,"157,243"
Marin County,California,2022,"260,485"
Mariposa County,California,2022,"17,130"
Mendocino County,California,2022,"91,145"
Merced County,California,2022,"282,290"
Modoc County,California,2022,"8,651"
Mono County,California,2022,"13,219"
Monterey County,California,2022,"437,609"
Napa County,California,2022,"137,384"
Nevada County,California,2022,"102,322"
Orange County,California,2022,"3,175,227"
Placer County,California,2022,"406,608"
Plumas County,California,2022,"19,650"
Riverside County,California,2022,"2,429,487"
Sacramento County,California,2022,"1,579,211"
San Benito County,California,2022,"64,753"
San Bernardino County,California,2022,"2,180,563"
San Diego County,California,2022,"3,289,701"
San Francisco County,California,2022,"851,036"
San Joaquin County,California,2022,"779,445"
San Luis Obispo County,California,2022,"281,712"
San Mateo County,California,2022,"754,250"
Santa Barbara County,California,2022,"445,213"
Santa Clara County,California,2022,"1,916,831"
Santa Cruz County,California,2022,"268,571"
Shasta County,California,2022,"181,852"
Sierra County,California,2022,"2,916"
Siskiyou County,California,2022,"44,049"
Solano County,California,2022,"450,995"
Sonoma County,California,2022,"488,436"
Stanislaus County,California,2022,"552,063"
Sutter County,California,2022,"99,101"
Tehama County,California,2022,"65,484"
Trinity County,California,2022,"15,889"
Tulare County,California,2022,"473,446"
Tuolumne County,California,2022,"54,993"
Ventura County,California,2022,"842,009"
Yolo County,California,2022,"217,141"
Yuba County,California,2022,"81,705"